acc_is,acc_ml,acc_pa,gyr_is,gyr_ml,gyr_pa
6.794098056,-0.671465659,-0.113809129,1.214670526,-0.75630429,-0.435447924
6.777015973,-0.657500339,-0.160640088,0.985487408,-0.630253575,-0.068754935
6.77851257,-0.653156373,-0.154571778,1.008405719,-0.687549354,-0.19480565
6.791094041,-0.659389745,-0.156088006,1.329262085,-0.905273316,-0.469825392
6.779296627,-0.638681423,-0.155951561,1.340721241,-0.378152145,-0.309397209
6.813661056,-0.647325897,-0.165813562,1.226129682,-0.492743704,-0.710467666
6.788711695,-0.668801557,-0.163006549,1.352180397,-0.389611301,-0.859436693
6.815855487,-0.639330061,-0.119319865,1.352180397,-0.25210143,-0.527121172
6.799512164,-0.641939128,-0.140187454,1.168833902,-0.240642274,-0.492743704
6.801407137,-0.629403812,-0.146020679,1.191752214,-0.309397209,-0.229183118
6.792061505,-0.611137592,-0.120918709,0.939650784,-0.022918312,-0.527121172
6.771280209,-0.616857705,-0.128956076,0.847977537,-1.04E-16,-0.423988768
6.770289646,-0.642573443,-0.131116933,0.561498639,-0.068754935,-0.343774677
6.794970487,-0.645214393,-0.148171755,0.721926822,-0.034377468,-0.275019742
6.769731379,-0.668219726,-0.137713821,0.676090198,-0.297938053,-0.286478898
6.74669017,-0.632364078,-0.170433554,0.481284548,-0.206264806,-0.229183118
6.772383217,-0.662173136,-0.163736292,0.309397209,-0.355233833,0.05729578
6.800178991,-0.651886076,-0.12834835,0.240642274,-0.206264806,0.068754935
6.774062804,-0.658961735,-0.010341883,0.183346494,-0.309397209,0.034377468
6.795072526,-0.633916706,-0.156375533,0.332315521,-0.103132403,0.022918312
6.788359379,-0.670294933,-0.134575233,0.229183118,-0.378152145,-0.515662016
6.800071957,-0.630481146,-0.146552447,0.275019742,-0.229183118,-0.423988768
6.782427376,-0.643016757,-0.10287048,0.206264806,-0.217723962,-0.492743704
6.821747188,-0.640961071,-0.163985459,-0.011459156,-0.423988768,-0.126050715
6.794074402,-0.633015658,-0.125896984,0.114591559,-0.366692989,-0.297938053
6.81525116,-0.640344218,-0.108318509,0.355233833,-0.332315521,-0.183346494
6.800461038,-0.592971532,-0.115945083,0.343774677,-0.011459156,-0.126050715
6.801729972,-0.614321526,-0.121174258,0.217723962,-0.19480565,-0.217723962
6.815110622,-0.622403592,-0.102028432,0.297938053,-0.50420286,-0.263560586
6.814351884,-0.602818418,-0.120984678,0.217723962,-0.550039483,-0.481284548
6.801280403,-0.584048356,-0.060466396,0.275019742,-0.75630429,-0.527121172
6.821890223,-0.574782321,-0.095384791,0.103132403,-1.168833902,-0.366692989
6.841985686,-0.584677275,-0.115217283,-0.137509871,-1.191752214,-0.217723962
6.835060206,-0.6131663,-0.121971218,-0.126050715,-1.340721241,1.64E-16
6.814775509,-0.61325616,-0.14221471,0.263560586,-1.352180397,-0.343774677
6.815115409,-0.603396423,-0.128863748,0.435447924,-1.478231111,-0.44690708
6.747617401,-0.632297075,-0.121736965,0.561498639,-1.684495918,-0.148969027
6.779722819,-0.594710649,-0.135567115,0.527121172,-1.993893127,-0.137509871
