acc_is,acc_ml,acc_pa,gyr_is,gyr_ml,gyr_pa
-0.632383403,-9.542088213,-0.153403581,-0.481284548,-0.103132403,1.042783187
-0.632513092,-9.570573412,-0.143336657,-0.366692989,-0.045836624,0.985487408
-0.670675659,-9.570575276,-0.124585823,-0.148969027,-0.080214091,0.767763445
-0.680226283,-9.627732358,-0.162836975,-0.022918312,-0.19480565,0.515662016
-0.680056472,-9.618523221,-0.115456342,-0.011459156,-0.275019742,0.847977537
-0.699438285,-9.618352134,-0.094933724,0.126050715,-0.206264806,0.813600069
-0.680022725,-9.600639395,-0.189114531,0.137509871,-0.343774677,0.435447924
-0.708727766,-9.551337964,-0.203595465,0.286478898,-0.492743704,0.275019742
-0.681284978,-9.59771317,-0.087902995,0.275019742,-0.481284548,0.275019742
-0.679413623,-9.591246123,-0.123680948,0.217723962,-0.435447924,0.217723962
-0.699243164,-9.568466911,-0.087953909,0.137509871,-0.469825392,0.412529612
-0.697613821,-9.645379077,-0.094090064,0.171887339,-0.366692989,0.435447924
-0.746443783,-9.602699887,-0.122843469,0.44690708,-0.389611301,0.286478898
-0.711701276,-9.579840821,-0.143840596,0.011459156,-0.423988768,0.114591559
-0.691481885,-9.588831196,-0.117742563,0.229183118,-0.355233833,0.206264806
-0.660980142,-9.59887075,-0.086648493,0.022918312,-0.19480565,0.378152145
-0.681561326,-9.59200787,-0.095981825,0.011459156,-0.171887339,0.263560586
-0.625754688,-9.554314514,-0.091933238,0.045836624,-0.137509871,0.206264806
-0.64700256,-9.54063653,-0.162054333,-0.091673247,-0.183346494,-0.011459156
-0.663977293,-9.553145064,-0.100211112,0.240642274,-0.389611301,0.160428183
-0.616771279,-9.514819258,-0.123002881,0.332315521,-0.618794419,-0.332315521
-0.612593887,-9.531235607,-0.102237956,0.847977537,-0.847977537,-0.206264806
-0.611314172,-9.5068968,-0.179552234,1.226129682,-0.916732472,-0.492743704
-0.640615367,-9.514438336,-0.112732302,1.810546633,-0.905273316,-0.44690708
-0.624009097,-9.600140654,-0.129916773,1.764710009,-0.802140913,-0.790681757
-0.639879421,-9.612618876,-0.129937668,1.535526891,-0.710467666,-0.572957795
-0.633557366,-9.589750098,-0.209885539,1.615740982,-0.802140913,-0.618794419
-0.639901101,-9.606478208,-0.212414851,1.707414229,-1.100078967,-0.836518381
-0.637546701,-9.60790056,-0.131760366,1.799087477,-1.65011845,-0.744845134
